regulator,num_degs_regulated,total_targets,enrichment_score,p_value,up_appearance_count,down_appearance_count,is_global_regulator,is_sigma_factor,is_nucleoid_regulator,a,K,fdr,M,N,topN_x,topN_y,topN
lsrr,0,9,0.0,1.0,0,0,no,no,no,0,9,1.0,150,3060,False,,False
laci,1,3,0.3333333333333333,0.14001133346766007,1,0,no,no,no,1,3,1.0,150,3060,False,True,False
hicb,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
cspa,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
srlr,0,7,0.0,1.0,0,0,no,no,no,0,7,1.0,150,3060,False,,False
dgor,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
gutm,0,7,0.0,1.0,0,0,no,no,no,0,7,1.0,150,3060,False,,False
fucr,0,7,0.0,1.0,0,0,no,no,no,0,7,1.0,150,3060,False,,False
frlr,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
hyfr,0,12,0.0,1.0,0,0,no,no,no,0,12,1.0,150,3060,False,,False
feci,0,5,0.0,1.0,0,0,no,yes,no,0,5,1.0,150,3060,False,,False
fear,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
uxur,0,11,0.0,1.0,0,0,no,no,no,0,11,1.0,150,3060,False,,False
exur,0,10,0.0,1.0,0,0,no,no,no,0,10,1.0,150,3060,False,,False
glrr,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
idnr,0,7,0.0,1.0,0,0,no,no,no,0,7,1.0,150,3060,False,,False
malh,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
frmr,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
micc,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
rsta,0,10,0.0,1.0,0,0,no,no,no,0,10,1.0,150,3060,False,,False
baer,0,9,0.0,1.0,0,0,no,no,no,0,9,1.0,150,3060,False,,False
hu,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
gals,0,10,0.0,1.0,0,0,no,no,no,0,10,1.0,150,3060,False,,False
galr,0,10,0.0,1.0,0,0,no,no,no,0,10,1.0,150,3060,False,,False
atoc,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
asnc,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
prpr,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
mlra,0,10,0.0,1.0,0,0,no,no,no,0,10,1.0,150,3060,False,,False
ascg,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
rydc,0,12,0.0,1.0,0,0,no,no,no,0,12,1.0,150,3060,False,,False
cpxq,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
stpa,2,21,0.09523809523809523,0.27523282126850723,2,0,no,no,no,2,21,1.0,150,3060,False,True,False
rpso,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
pnp,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
rpsa,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
srag,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
sutr,1,8,0.125,0.3313985502249181,1,0,no,no,no,1,8,1.0,150,3060,False,True,False
arsr,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
envy,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
csgd,2,28,0.07142857142857142,0.4024230079296032,2,0,yes,no,no,2,28,1.0,150,3060,False,True,False
nanr,1,11,0.09090909090909091,0.4252435250988266,1,0,no,no,no,1,11,1.0,150,3060,False,True,False
dead,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
murr,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
kdgr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
gntr,0,12,0.0,1.0,0,0,no,no,no,0,12,1.0,150,3060,False,,False
carbonstorageregulatorcsra,0,10,0.0,1.0,0,0,no,no,no,0,10,1.0,150,3060,False,,False
ydip,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
comr,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
chbr,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
rsex,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
cecr,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
cbl,0,9,0.0,1.0,0,0,no,no,no,0,9,1.0,150,3060,False,,False
hcar,0,7,0.0,1.0,0,0,no,no,no,0,7,1.0,150,3060,False,,False
c0293,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
blur,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
bira,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
rcsbbglj,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
bglj,0,15,0.0,1.0,0,0,no,no,no,0,15,1.0,150,3060,False,,False
bglg,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
cdar,0,10,0.0,1.0,0,0,no,no,no,0,10,1.0,150,3060,False,,False
paax,0,14,0.0,1.0,0,0,no,no,no,0,14,1.0,150,3060,False,,False
srmb,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
rpsr,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
yrdg,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
mngr,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
micls,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
micl,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
nemr,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
pgrr,0,9,0.0,1.0,0,0,no,no,no,0,9,1.0,150,3060,False,,False
symr,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
ilvy,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
rtcr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
smallheatshockproteinibpa,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
ibpa,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
higba,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
higa,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
higb,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
glmz,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
dan,0,4,0.0,1.0,0,0,no,no,yes,0,4,1.0,150,3060,False,,False
ttdr,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
rpsb,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
yhaj,0,8,0.0,1.0,0,0,no,no,no,0,8,1.0,150,3060,False,,False
racr,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
yefm,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
yebk,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
xynr,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
selblselenocysteinyltrnasupsecsup,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
selb,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
xapr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
sibc,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
rpme,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
ribonucleasee,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
rne,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
relbe,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
relb,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
rele,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
rclr,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
rala,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
pyrr,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
nimr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
yefmb,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
yoeb,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
trpr,0,12,0.0,1.0,0,0,no,no,no,0,12,1.0,150,3060,False,,False
ydat,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
zur,0,7,0.0,1.0,0,0,no,no,no,0,7,1.0,150,3060,False,,False
cynr,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
ycit,1,4,0.25,0.18220901092263256,1,0,no,no,no,1,4,1.0,150,3060,False,True,False
yiep,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
fimr2,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
ular,0,7,0.0,1.0,0,0,no,no,no,0,7,1.0,150,3060,False,,False
uidr,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
uhpa,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
tdca,0,7,0.0,1.0,0,0,no,no,no,0,7,1.0,150,3060,False,,False
tdcr,0,7,0.0,1.0,0,0,no,no,no,0,7,1.0,150,3060,False,,False
sxy,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
ydfh,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
rspr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
rplm,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
stfz,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
rhar,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
rbsr,0,12,0.0,1.0,0,0,no,no,no,0,12,1.0,150,3060,False,,False
s6s18ribosomalsubunitcomplex,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
yafc,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
decr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
dhar,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
dicd,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
istr1,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
istr,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
rcnr,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
punr,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
yqhc,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
yeil,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
nfer,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
ygbi,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
rpsf,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
fabr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
thrs,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
rply,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
rplt,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
rpsd,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
rpsh,0,12,0.0,1.0,0,0,no,no,no,0,12,1.0,150,3060,False,,False
rpla,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
sdsn,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
rpsg,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
threoninemdashtrnaligase,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
mraz,0,18,0.0,1.0,0,0,no,no,no,0,18,1.0,150,3060,False,,False
lysr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
bola,1,11,0.09090909090909091,0.4252435250988266,1,0,no,no,no,1,11,1.0,150,3060,False,True,False
gady,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
glar,6,120,0.05,0.541684465852561,6,0,yes,no,no,6,120,1.0,150,3060,False,True,False
ydci,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
gadrcs,0,9,0.0,1.0,0,0,no,no,no,0,9,1.0,150,3060,False,,False
gade,1,41,0.024390243902439025,0.8744027122920476,1,0,yes,no,no,1,41,1.0,150,3060,False,True,False
gadw,0,15,0.0,1.0,0,0,no,no,no,0,15,1.0,150,3060,False,,False
gadx,0,34,0.0,1.0,0,0,yes,no,no,0,34,1.0,150,3060,False,,False
adiy,0,8,0.0,1.0,0,0,no,no,no,0,8,1.0,150,3060,False,,False
torr,0,21,0.0,1.0,0,0,no,no,no,0,21,1.0,150,3060,False,,False
ydeo,1,24,0.041666666666666664,0.7020882208075736,1,0,no,no,no,1,24,1.0,150,3060,False,True,False
aidb,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
ada,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
mgrr,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
soxr,0,8,0.0,1.0,0,0,no,no,no,0,8,1.0,150,3060,False,,False
fnr,14,324,0.043209876543209874,0.7353380746375002,14,0,yes,no,no,14,324,1.0,150,3060,False,True,False
puur,0,8,0.0,1.0,0,0,no,no,no,0,8,1.0,150,3060,False,,False
ihf,13,162,0.08024691358024691,0.05134236066603971,13,0,no,no,yes,13,162,1.0,150,3060,False,,False
phob,2,66,0.030303030303030304,0.8434493869542881,2,0,yes,no,no,2,66,1.0,150,3060,False,True,False
rutr,0,17,0.0,1.0,0,0,no,no,no,0,17,1.0,150,3060,False,,False
argr,5,64,0.078125,0.20269397585047724,5,0,yes,no,no,5,64,1.0,150,3060,False,True,False
yiau,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
narp,3,51,0.058823529411764705,0.46039948050469615,3,0,yes,no,no,3,51,1.0,150,3060,False,True,False
appy,0,10,0.0,1.0,0,0,no,no,no,0,10,1.0,150,3060,False,,False
hipab,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
mazef,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
mazf,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
hipb,0,8,0.0,1.0,0,0,no,no,no,0,8,1.0,150,3060,False,,False
maze,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
amef,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
lrp,16,366,0.04371584699453552,0.7295798456264682,16,0,yes,no,no,16,366,1.0,150,3060,False,True,False
hipa,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
alpa,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
alls,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
allr,0,9,0.0,1.0,0,0,no,no,no,0,9,1.0,150,3060,False,,False
alas,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
lexa,1,63,0.015873015873015872,0.9592321368353525,1,0,yes,no,no,1,63,1.0,150,3060,False,True,False
agrb,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
leuo,1,24,0.041666666666666664,0.7020882208075736,1,0,no,no,no,1,24,1.0,150,3060,False,True,False
yeie,0,15,0.0,1.0,0,0,no,no,no,0,15,1.0,150,3060,False,,False
alsr,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
narl,6,125,0.048,0.5826637855920886,6,0,yes,no,no,6,125,1.0,150,3060,False,True,False
hupb,0,9,0.0,1.0,0,0,no,no,no,0,9,1.0,150,3060,False,,False
hupa,0,9,0.0,1.0,0,0,no,no,no,0,9,1.0,150,3060,False,,False
ompr,1,57,0.017543859649122806,0.9445433656520031,1,0,yes,no,no,1,57,1.0,150,3060,False,True,False
soxs,3,51,0.058823529411764705,0.46039948050469615,3,0,yes,no,no,3,51,1.0,150,3060,False,True,False
mpra,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
envr,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
mara,4,57,0.07017543859649122,0.30498418469618227,4,0,yes,no,no,4,57,1.0,150,3060,False,True,False
rob,5,49,0.10204081632653061,0.08937905652006642,5,0,yes,no,no,5,49,1.0,150,3060,False,True,False
ptrr,0,13,0.0,1.0,0,0,no,no,no,0,13,1.0,150,3060,False,,False
arca,7,236,0.029661016949152543,0.9527210984812128,7,0,yes,no,no,7,236,1.0,150,3060,False,True,False
ryhb,0,43,0.0,1.0,0,0,yes,no,no,0,43,1.0,150,3060,False,,False
cra,5,133,0.03759398496240601,0.7916502135196247,5,0,yes,no,no,5,133,1.0,150,3060,False,True,False
acnb,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
accb,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
accd,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
acca,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
fadr,2,23,0.08695652173913043,0.31223395769073514,2,0,no,no,no,2,23,1.0,150,3060,False,True,False
rpod,0,1709,0.0,1.0,0,0,no,yes,no,0,1709,1.0,150,3060,False,,False
crp,16,585,0.02735042735042735,0.9985788651586588,16,0,yes,no,no,16,585,1.0,150,3060,False,True,False
hdfr,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
ihfb,0,234,0.0,1.0,0,0,yes,no,yes,0,234,1.0,150,3060,False,,False
rcsb,6,64,0.09375,0.09101326236146533,6,0,yes,no,no,6,64,1.0,150,3060,False,True,False
fur,7,279,0.025089605734767026,0.9878567815597861,7,0,yes,no,no,7,279,1.0,150,3060,False,True,False
nac,27,532,0.05075187969924812,0.45436888454416974,27,0,yes,no,no,27,532,1.0,150,3060,False,True,False
cpxr,11,127,0.08661417322834646,0.04454125534065065,11,0,yes,no,no,11,127,1.0,150,3060,False,True,False
fnrs,0,19,0.0,1.0,0,0,no,no,no,0,19,1.0,150,3060,False,,False
asflhd,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
rcsab,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
omrb,0,12,0.0,1.0,0,0,no,no,no,0,12,1.0,150,3060,False,,False
omra,0,12,0.0,1.0,0,0,no,no,no,0,12,1.0,150,3060,False,,False
yjjq,1,10,0.1,0.39551474191428293,1,0,no,no,no,1,10,1.0,150,3060,False,True,False
rpos,0,338,0.0,1.0,0,0,no,yes,no,0,338,1.0,150,3060,False,,False
mcas,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
arcz,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
ihfa,0,234,0.0,1.0,0,0,yes,no,yes,0,234,1.0,150,3060,False,,False
lrha,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
rcsa,0,16,0.0,1.0,0,0,no,no,no,0,16,1.0,150,3060,False,,False
qseb,1,14,0.07142857142857142,0.505991839655862,1,0,no,no,no,1,14,1.0,150,3060,False,True,False
fliz,1,22,0.045454545454545456,0.6703324019350668,1,0,no,no,no,1,22,1.0,150,3060,False,True,False
mata,0,9,0.0,1.0,0,0,no,no,no,0,9,1.0,150,3060,False,,False
rpon,0,146,0.0,1.0,0,0,no,yes,no,0,146,1.0,150,3060,False,,False
oxys,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
mntr,0,5,0.0,1.0,0,0,no,no,no,0,5,1.0,150,3060,False,,False
iscr,0,33,0.0,1.0,0,0,yes,no,no,0,33,1.0,150,3060,False,,False
xylr,0,8,0.0,1.0,0,0,no,no,no,0,8,1.0,150,3060,False,,False
sdia,0,8,0.0,1.0,0,0,no,no,no,0,8,1.0,150,3060,False,,False
slya,2,48,0.041666666666666664,0.6911125554394174,2,0,yes,no,no,2,48,1.0,150,3060,False,True,False
nhar,5,42,0.11904761904761904,0.05219852458111896,5,0,yes,no,no,5,42,1.0,150,3060,False,True,False
zntr,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
cuer,0,9,0.0,1.0,0,0,no,no,no,0,9,1.0,150,3060,False,,False
mcbr,1,6,0.16666666666666666,0.26053179873973864,1,0,no,no,no,1,6,1.0,150,3060,False,True,False
zrar,4,28,0.14285714285714285,0.04539864215737886,4,0,no,no,no,4,28,1.0,150,3060,False,True,False
rho,0,1,0.0,1.0,0,0,no,no,no,0,1,1.0,150,3060,False,,False
rhas,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
fimz,1,5,0.2,0.22234927543886465,1,0,no,no,no,1,5,1.0,150,3060,False,True,False
puta,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
mlc,0,10,0.0,1.0,0,0,no,no,no,0,10,1.0,150,3060,False,,False
nadr,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
srsr,1,38,0.02631578947368421,0.8536701712703684,1,0,yes,no,no,1,38,1.0,150,3060,False,True,False
flia,0,79,0.0,1.0,0,0,no,yes,no,0,79,1.0,150,3060,False,,False
hfq,0,6,0.0,1.0,0,0,no,no,no,0,6,1.0,150,3060,False,,False
mode,0,46,0.0,1.0,0,0,yes,no,no,0,46,1.0,150,3060,False,,False
rcda,0,14,0.0,1.0,0,0,no,no,no,0,14,1.0,150,3060,False,,False
dksa,0,162,0.0,1.0,0,0,yes,no,no,0,162,1.0,150,3060,False,,False
rpld,0,12,0.0,1.0,0,0,no,no,no,0,12,1.0,150,3060,False,,False
motr,0,12,0.0,1.0,0,0,no,no,no,0,12,1.0,150,3060,False,,False
tyrr,0,12,0.0,1.0,0,0,no,no,no,0,12,1.0,150,3060,False,,False
nrdr,0,9,0.0,1.0,0,0,no,no,no,0,9,1.0,150,3060,False,,False
yegw,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
argp,0,15,0.0,1.0,0,0,no,no,no,0,15,1.0,150,3060,False,,False
sdsr,0,4,0.0,1.0,0,0,no,no,no,0,4,1.0,150,3060,False,,False
uhpu,0,2,0.0,1.0,0,0,no,no,no,0,2,1.0,150,3060,False,,False
rpoe,0,132,0.0,1.0,0,0,no,yes,no,0,132,1.0,150,3060,False,,False
citr,0,3,0.0,1.0,0,0,no,no,no,0,3,1.0,150,3060,False,,False
micf,0,7,0.0,1.0,0,0,no,no,no,0,7,1.0,150,3060,False,,False
cysb,1,33,0.030303030303030304,0.8113005912034217,1,0,yes,no,no,1,33,1.0,150,3060,False,True,False
