gene,source,comparison
nadR,houser,two_week_starvation_versus_control
valS,houser,two_week_starvation_versus_control
YigA,houser,two_week_starvation_versus_control
recR,houser,two_week_starvation_versus_control
yihA,houser,two_week_starvation_versus_control
yigB,houser,two_week_starvation_versus_control
dnaX,houser,two_week_starvation_versus_control
polA,houser,two_week_starvation_versus_control
xerC,houser,two_week_starvation_versus_control
ybaB,houser,two_week_starvation_versus_control
dsbA,houser,two_week_starvation_versus_control
yicC,houser,two_week_starvation_versus_control
purF,houser,two_week_starvation_versus_control
truA,houser,two_week_starvation_versus_control
yjaH,houser,two_week_starvation_versus_control
pyrE,houser,two_week_starvation_versus_control
bioC,houser,two_week_starvation_versus_control
folK,houser,two_week_starvation_versus_control
accD,houser,two_week_starvation_versus_control
deoC,houser,two_week_starvation_versus_control
dedA,houser,two_week_starvation_versus_control
deoA,houser,two_week_starvation_versus_control
tolQ,houser,two_week_starvation_versus_control
pheT,houser,two_week_starvation_versus_control
nuoG,houser,two_week_starvation_versus_control
nuoA,houser,two_week_starvation_versus_control
yfbU,houser,two_week_starvation_versus_control
selD,houser,two_week_starvation_versus_control
fkpB,houser,two_week_starvation_versus_control
nuoH,houser,two_week_starvation_versus_control
recG,houser,two_week_starvation_versus_control
maeA,houser,two_week_starvation_versus_control
nuoC,houser,two_week_starvation_versus_control
ackA,houser,two_week_starvation_versus_control
ymdA,houser,two_week_starvation_versus_control
yfbT,houser,two_week_starvation_versus_control
pta,houser,two_week_starvation_versus_control
nlpA,houser,two_week_starvation_versus_control
lspA,houser,two_week_starvation_versus_control
uraA,houser,two_week_starvation_versus_control
nuoE,houser,two_week_starvation_versus_control
yeiB,houser,two_week_starvation_versus_control
yeiG,houser,two_week_starvation_versus_control
artQ,houser,two_week_starvation_versus_control
dfp,houser,two_week_starvation_versus_control
ftsQ,houser,two_week_starvation_versus_control
yadG,houser,two_week_starvation_versus_control
can,houser,two_week_starvation_versus_control
gnsb,houser,two_week_starvation_versus_control
secM,houser,two_week_starvation_versus_control
gcd,houser,two_week_starvation_versus_control
nuoB,houser,two_week_starvation_versus_control
rpmB,houser,two_week_starvation_versus_control
nuoI,houser,two_week_starvation_versus_control
ubiX,houser,two_week_starvation_versus_control
purE,houser,two_week_starvation_versus_control
yfcE,houser,two_week_starvation_versus_control
nuoJ,houser,two_week_starvation_versus_control
nuoF,houser,two_week_starvation_versus_control
ppiB,houser,two_week_starvation_versus_control
nadE,houser,two_week_starvation_versus_control
thyA,houser,two_week_starvation_versus_control
murD,houser,two_week_starvation_versus_control
surA,houser,two_week_starvation_versus_control
murF,houser,two_week_starvation_versus_control
mraY,houser,two_week_starvation_versus_control
wzzE,houser,two_week_starvation_versus_control
ddpB,houser,two_week_starvation_versus_control
secA,houser,two_week_starvation_versus_control
bamC,houser,two_week_starvation_versus_control
ybgJ,houser,two_week_starvation_versus_control
sucC,houser,two_week_starvation_versus_control
ybgK,houser,two_week_starvation_versus_control
lpxA,houser,two_week_starvation_versus_control
rffD,houser,two_week_starvation_versus_control
clcA,houser,two_week_starvation_versus_control
sucB,houser,two_week_starvation_versus_control
lpd,houser,two_week_starvation_versus_control
ydhC,houser,two_week_starvation_versus_control
rnhB,houser,two_week_starvation_versus_control
aceE,houser,two_week_starvation_versus_control
sdhD,houser,two_week_starvation_versus_control
panB,houser,two_week_starvation_versus_control
tolR,houser,two_week_starvation_versus_control
trxB,houser,two_week_starvation_versus_control
menC,houser,two_week_starvation_versus_control
lpxH,houser,two_week_starvation_versus_control
lrp,houser,two_week_starvation_versus_control
cydD,houser,two_week_starvation_versus_control
rluE,houser,two_week_starvation_versus_control
ybgL,houser,two_week_starvation_versus_control
eco,houser,two_week_starvation_versus_control
bamB,houser,two_week_starvation_versus_control
der,houser,two_week_starvation_versus_control
dnaE,houser,two_week_starvation_versus_control
yfgM,houser,two_week_starvation_versus_control
glnH,houser,two_week_starvation_versus_control
flhE,houser,two_week_starvation_versus_control
prc,houser,two_week_starvation_versus_control
bamA,houser,two_week_starvation_versus_control
rseP,houser,two_week_starvation_versus_control
sucA,houser,two_week_starvation_versus_control
sbcC,houser,two_week_starvation_versus_control
lolA,houser,two_week_starvation_versus_control
betA,houser,two_week_starvation_versus_control
flgH,houser,two_week_starvation_versus_control
sseB,houser,two_week_starvation_versus_control
acnB,houser,two_week_starvation_versus_control
tsf,houser,two_week_starvation_versus_control
yebR,houser,two_week_starvation_versus_control
skp,houser,two_week_starvation_versus_control
fabZ,houser,two_week_starvation_versus_control
lpxD,houser,two_week_starvation_versus_control
yjiX,houser,two_week_starvation_versus_control
cysG,houser,two_week_starvation_versus_control
minE,houser,two_week_starvation_versus_control
kdsB,houser,two_week_starvation_versus_control
rbfA,houser,two_week_starvation_versus_control
infB,houser,two_week_starvation_versus_control
mukF,houser,two_week_starvation_versus_control
nusA,houser,two_week_starvation_versus_control
smtA,houser,two_week_starvation_versus_control
rimP,houser,two_week_starvation_versus_control
nuoL,houser,two_week_starvation_versus_control
rlmE,houser,two_week_starvation_versus_control
yhbY,houser,two_week_starvation_versus_control
truB,houser,two_week_starvation_versus_control
rpsO,houser,two_week_starvation_versus_control
metQ,houser,two_week_starvation_versus_control
rpsB,houser,two_week_starvation_versus_control
accA,houser,two_week_starvation_versus_control
serC,houser,two_week_starvation_versus_control
pnp,houser,two_week_starvation_versus_control
deaD,houser,two_week_starvation_versus_control
ihfB,houser,two_week_starvation_versus_control
yhbW,houser,two_week_starvation_versus_control
fabD,houser,two_week_starvation_versus_control
trpB,houser,two_week_starvation_versus_control
rlmL,houser,two_week_starvation_versus_control
gph,houser,two_week_starvation_versus_control
rpe,houser,two_week_starvation_versus_control
mukB,houser,two_week_starvation_versus_control
dam,houser,two_week_starvation_versus_control
trpS,houser,two_week_starvation_versus_control
ompF,houser,two_week_starvation_versus_control
