gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,deg_source
gabd,glar,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
gabd,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
gabd,hns,+,ecocyc_28,yes,no,jovanovic_down
gabd,lrp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
gabd,ptrr,+,ecocyc_28,no,no,jovanovic_down
glcd,rpod,+,ecocyc_28,no,yes,jovanovic_down
glcd,ihfa,+,ecocyc_28,yes,no,jovanovic_down
glcd,arca,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
glcd,glcc,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_down
glcd,pdhr,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
glcd,lldr,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_down
glcd,ihfb,+,ecocyc_28,yes,no,jovanovic_down
gntk,gntr,-,ecocyc_28_AND_regdb_13,no,no,jovanovic_down
gntk,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
gntk,idnr,-,ecocyc_28,no,no,jovanovic_down
gntk,rpod,+,ecocyc_28,no,yes,jovanovic_down
malm,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
malm,rpod,+,ecocyc_28,no,yes,jovanovic_down
malm,malt,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_down
mltc,gcvb,-,ecocyc_28,yes,no,jovanovic_down
moda,rpod,+,ecocyc_28,no,yes,jovanovic_down
moda,mode,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
moda,crp,+,ecocyc_28,yes,no,jovanovic_down
moda,flia,+,ecocyc_28,no,yes,jovanovic_down
moda,lrp,+,ecocyc_28,yes,no,jovanovic_down
pola,nac,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
pola,dnaa,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_down
pola,lrp,-,ecocyc_28,yes,no,jovanovic_down
poti,glng,+,ecocyc_28,yes,no,jovanovic_down
poti,rpon,+,ecocyc_28,no,yes,jovanovic_down
poxb,soxs,+,ecocyc_28,yes,no,jovanovic_down
poxb,rpod,+,ecocyc_28,no,yes,jovanovic_down
poxb,rpos,+,ecocyc_28,no,yes,jovanovic_down
poxb,narl,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
poxb,cra,+,ecocyc_28,yes,no,jovanovic_down
poxb,oxyr,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
poxb,nsrr,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
poxb,fnr,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
poxb,mara,+,ecocyc_28,yes,no,jovanovic_down
poxb,narp,+,ecocyc_28,yes,no,jovanovic_down
ppdb,flhd,+,ecocyc_28,yes,no,jovanovic_down
ppdb,flia,+,ecocyc_28,no,yes,jovanovic_down
ppdb,flhc,+,ecocyc_28,yes,no,jovanovic_down
prib,rpsf,-,ecocyc_28,no,no,jovanovic_down
prib,crp,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
prib,rpsr,-,ecocyc_28,no,no,jovanovic_down
prib,rpod,+,ecocyc_28,no,yes,jovanovic_down
prib,s6:s18 ribosomal subunit complex,-,regdb_13,no,no,jovanovic_down
rplc,rpod,+,ecocyc_28,no,yes,jovanovic_down
rplc,motr,+,ecocyc_28,no,no,jovanovic_down
rplc,flix,-,ecocyc_28_AND_regdb_13,no,no,jovanovic_down
rplc,arca,-,ecocyc_28,yes,no,jovanovic_down
rplc,fnr,+,ecocyc_28,yes,no,jovanovic_down
rplc,dksa,-,ecocyc_28,yes,no,jovanovic_down
rplc,rpld,-,ecocyc_28,no,no,jovanovic_down
rpse,rpsh,-,ecocyc_28_AND_regdb_13,no,no,jovanovic_down
rpse,dksa,-,ecocyc_28,yes,no,jovanovic_down
rpsg,dksa,-,ecocyc_28,yes,no,jovanovic_down
rpsg,rpsg,-,ecocyc_28,no,no,jovanovic_down
rpsk,rpsd,-,ecocyc_28,no,no,jovanovic_down
rpsk,dksa,-,ecocyc_28,yes,no,jovanovic_down
rpsk,rpod,+,ecocyc_28,no,yes,jovanovic_down
sgbh,crp,±,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
sgbh,rpod,+,ecocyc_28,no,yes,jovanovic_down
sgbh,ihfa,+,ecocyc_28,yes,no,jovanovic_down
sgbh,rpoe,+,ecocyc_28,no,yes,jovanovic_down
sgbh,plar,-,ecocyc_28_AND_regdb_13,no,no,jovanovic_down
sgbh,ihfb,+,ecocyc_28,yes,no,jovanovic_down
sgbh,ihf,+,regdb_13,no,no,jovanovic_down
slp,torr,+,ecocyc_28,no,no,jovanovic_down
slp,gadw,-,ecocyc_28,no,no,jovanovic_down
slp,rpod,+,ecocyc_28,no,yes,jovanovic_down
slp,rcsb,+,ecocyc_28,yes,no,jovanovic_down
slp,ydeo,+,ecocyc_28_AND_regdb_13,no,no,jovanovic_down
slp,gadx,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
slp,hns,-,ecocyc_28,yes,no,jovanovic_down
slp,gade,+,ecocyc_28,yes,no,jovanovic_down
slp,mara,-,ecocyc_28,yes,no,jovanovic_down
slp,h-ns,-,regdb_13,no,no,jovanovic_down
slp,gadrcs,+,regdb_13,no,no,jovanovic_down
yaef,nac,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
yeag,glng,+,ecocyc_28,yes,no,jovanovic_down
yeag,lrp,+,ecocyc_28,yes,no,jovanovic_down
yeag,rpon,+,ecocyc_28,no,yes,jovanovic_down
yehe,glar,-,ecocyc_28,yes,no,jovanovic_down
yehe,nac,-,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
yfbn,glar,+,ecocyc_28_AND_regdb_13,yes,no,jovanovic_down
