baseMean,log2FoldChange,pvalue,padj,gene,dataType,growthPhase.y,investigatedEffect,testVSbase
22.17107077,-0.04670692,0.8820692,0.94378352,ypfH,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
18.49935198,1.915547173,7.89e-08,1.42e-05,ypfI,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
34.41227928,0.548713838,0.064212387,0.180038116,ypfJ,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
62.16831938,1.518840752,0.015544036,0.069428746,purC,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
216.4555207,0.562912784,0.215824752,0.399688658,nlpB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
176.7031578,0.318019186,0.314317893,0.512981364,dapA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
25.89967451,-0.239388398,0.455882758,0.650051708,gcvR,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
90.95641531,0.200259555,0.697082545,0.834695058,bcp,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.109887015,-0.210156839,0.804432189,,hyfA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.296052048,-0.493262404,0.416872937,0.616848884,hyfB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.184658165,-0.070799016,0.93491956,,hyfD,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.130650546,0.370435172,0.66966088,,hyfE,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.393191184,0.167434463,0.756994883,0.87462962,hyfF,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.516152379,0.517712225,0.188188708,0.363388469,hyfG,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.379800887,-0.579539112,0.455774317,,hyfH,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.217510558,0.389811657,0.652505761,,hyfI,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.515250624,0.707031888,0.31230804,,hyfJ,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.185517432,-0.142857487,0.761448395,0.87741611,hyfR,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.574520609,-0.518095576,0.320625381,0.519128308,focB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
17.77464088,-0.003000693,0.992422415,0.996564412,perM,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
36.29253351,0.378631691,0.404470855,0.606706282,yfgC,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
22.34361103,0.915890227,0.027871432,0.102955986,yfgD,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
33.67314787,0.585559359,0.113750835,0.258844112,hda,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
9.448020689,2.537139354,2.12e-07,2.95e-05,uraA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
49.53215091,0.888657179,0.119632997,0.267175425,upp,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
20.85298337,2.240673896,0.001205226,0.013635305,purM,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
9.272926272,2.551277072,9.08e-07,8.86e-05,purN,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
55.82560472,0.301682626,0.164600174,0.33223827,ppk,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
37.09493768,0.546512182,0.076040922,0.200607957,ppx,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.172121697,0.446610813,0.395439444,0.599891111,yfgF,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
5.002610158,0.058927512,0.904235103,0.957667618,yfgG,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.176807489,-0.179932553,0.835385049,,yfgH,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
4.945262474,-1.043778468,0.124420978,0.274975695,yfgI,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
197.9985715,1.261633947,0.012392549,0.060438796,guaA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
30.23306922,1.370700864,0.027219297,0.101272623,guaB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
13.75000809,1.228114247,0.048483754,0.148790704,xseA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
5.515863452,1.497400982,0.003863451,0.028960177,yfgJ,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
132.7536605,1.403721781,0.002373355,0.02089195,yfgK,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
171.3919375,1.311597776,0.001135834,0.013096562,yfgL,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
34.46192,1.133019622,0.020826944,0.084265067,yfgM,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
142.9868487,0.937758088,0.038730805,0.128478162,hisS,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
156.8911036,0.745386967,0.081733217,0.209648315,ispG,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
84.39046383,0.870940288,0.00479465,0.032897133,yfgA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
24.81238219,1.703140434,0.000627367,0.008576386,yfgB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
13.38135952,1.455969853,0.002062605,0.019198335,ndk,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
8.413972967,0.885007472,0.004233829,0.030465511,pbpC,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
147.6411523,-0.152364849,0.575955045,0.747705667,yfhM,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
182.6594638,-1.960769435,0.000177073,0.003435796,sseA,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
17.78430941,0.615287601,0.170459046,0.340457314,sseB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
100.6633878,0.31167731,0.404468984,0.606706282,pepB,mrna,Exp,batchNumberPLUScarbonSource,lactateVSglucose
