baseMean,log2FoldChange,pvalue,padj,gene,dataType,growthPhase.y,investigatedEffect,testVSbase
0.428070713,-0.981567911,0.210337627,,yadI,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.179591069,-0.759416288,0.335254382,0.477947612,yadE,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
37.72585746,0.302421095,0.504740222,0.628785628,panD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.986740872,-1.512414026,0.054986091,0.154286632,yadD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
49.56915279,0.443839812,0.281290088,0.428720271,panC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
23.46042092,0.968600122,0.036719188,0.122508999,panB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.52222643,-0.922170988,0.234011633,,yadC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.221348169,0.325003898,0.666997937,,yadK,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.108887043,-0.18456493,0.782849572,,yadL,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.521707043,-1.015507297,0.191368018,,yadM,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.442224882,-0.979160767,0.208468728,0.353011976,htrE,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.531516558,-0.260521633,0.743740969,,ecpD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.273910337,-0.744066383,0.330233494,,yadN,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
3.204891621,-1.832513867,0.01156931,0.058741796,folK,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
40.09068144,0.210950108,0.588820952,0.701813142,pcnB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.205949487,-0.811551027,0.302168863,0.449564024,yadB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
67.5740151,0.355391624,0.467768437,0.596422238,dksA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
5.122811322,-0.758680986,0.197802179,0.341671499,sfsA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.73335712,2.17962505,0.003087281,0.024013229,ligT,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
6.065920394,1.035898435,0.062561467,0.169233398,hrpB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
38.74782683,1.037409215,0.00193609,0.017631509,mrcB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
74.49627343,-0.476474073,0.340631068,0.482121074,fhuA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
7.610724033,0.040666965,0.948154088,0.966663869,fhuC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.00586723,-1.685925326,0.03274879,0.114330359,fhuD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.639493839,-1.336326848,0.092493993,0.212929262,fhuB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
69.40638752,0.46597452,0.290570637,0.438943482,hemL,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.696658706,-0.416422752,0.602227175,,yadQ,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
15.25535926,1.357442015,0.004058657,0.02959004,yadR,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.448019243,-0.827609968,0.297085626,,yadS,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.758636814,1.699492967,0.016242981,0.07404937,yadT,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
28.64571202,0.013726821,0.976300995,0.985544081,pfs,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.04431745,-0.536167284,0.470740592,0.598705117,dgt,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
154.7413729,0.714718999,0.114744957,0.24287208,degP,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.898048957,-0.615487172,0.402554704,0.536679318,cdaR,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
30.74639415,1.237128674,0.003311691,0.025485323,yaeH,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.468778953,-0.710710238,0.362221385,,yaeI,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
90.06045337,0.755808915,0.293661133,0.441153682,dapD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
3.767689191,-0.58608461,0.40303995,0.536812215,glnD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
46.57641182,0.214327083,0.617082992,0.723369389,map,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
247.8993297,0.314414396,0.504968867,0.628785628,rpsB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
308.7275175,-0.00693361,0.989164056,0.992102299,tsf,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
21.98348112,1.39418206,0.000199759,0.002989371,pyrH,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
59.42685747,0.982173998,0.033967059,0.116367084,frr,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
6.019910584,0.820221235,0.085184346,0.202077392,ispC,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.819487677,-1.174176998,0.114170326,0.241855847,uppS,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.024840874,-0.017823998,0.971668012,,cdsA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
19.66811917,0.476292674,0.260542951,0.406746973,yaeL,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
170.9739738,0.65395752,0.10642004,0.231083288,yaeT,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
84.75577909,-0.058162616,0.905874409,0.940800573,hlpA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
20.00119224,1.012652174,0.039266394,0.127032494,lpxD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
