gene,ratio,log2_fc
speF ,0.8552382599268971,-0.2256017
metL ,0.8560468142997771,-0.2242384
murF ,0.8563191534683859,-0.2237795
hflX ,0.8573777006415774,-0.2219972
pabA ,0.8576054624088224,-0.221614
fis ,0.857874491777783,-0.2211615
dacB ,0.8580561120057542,-0.2208561
otsB ,0.8583574104144742,-0.2203496
rlmH ,0.8583820424438807,-0.2203082
accD ,0.8589680647153776,-0.2193236
lptB ,0.8589708035196884,-0.219319
rng ,0.859218522800111,-0.218903
wcaL ,0.8594157965370864,-0.2185718
diaA ,0.8599491745180888,-0.2176767
yecJ ,0.8601919290271366,-0.2172695
ribB ,0.8606763311788078,-0.2164573
yibL ,0.8613411130909645,-0.2153434
ytfL ,0.8616186004841015,-0.2148787
yggM ,0.8623645032256293,-0.2136303
yihG ,0.8625593304964964,-0.2133044
yibN ,0.8625748157422065,-0.2132785
btuB ,0.8628743514911658,-0.2127776
dapA ,0.8629929626592081,-0.2125793
yefM ,0.8632741535950845,-0.2121093
grxD ,0.8633102364247027,-0.212049
amiA ,0.8638197456960551,-0.2111978
fre ,0.8640430500031567,-0.2108249
speG ,0.8641508603492948,-0.2106449
yfcN ,0.8642990616314544,-0.2103975
thiL ,0.8643803614872436,-0.2102618
gdhA ,0.8646241870796969,-0.2098549
bioD1 ,0.8647079149943372,-0.2097152
hflK ,0.8652194485969926,-0.208862
nrdA ,0.8655540995534016,-0.2083041
flhC ,0.8655834379177735,-0.2082552
pnp ,0.8661728756581418,-0.2072731
ydjI ,0.8662566334550024,-0.2071336
modF ,0.8674034581270057,-0.2052249
lysC ,0.867911412634523,-0.2043803
rpmE ,0.8688890056744722,-0.2027562
ftsH ,0.8689147228971359,-0.2027135
glmM ,0.8693600466298396,-0.2019743
pdxH ,0.8703285935034224,-0.2003679
cpxA ,0.8706668500322463,-0.1998073
ybjD ,0.8707608804518625,-0.1996515
yqjE ,0.8709600798315295,-0.1993215
menB ,0.8713338524920701,-0.1987025
ftnA ,0.8724124720044468,-0.1969177
bcp ,0.8726283197885466,-0.1965608
nlpA ,0.872942238020401,-0.1960419
xerC ,0.8737164752239017,-0.1947629
ypfJ ,0.8739245890143477,-0.1944193
yhdE ,0.8744474542590479,-0.1935564
yegQ ,0.875135732695161,-0.1924213
mipA ,0.8752145333054618,-0.1922914
ves ,0.8766052959843893,-0.1900007
gsiA ,0.8784528144773951,-0.1869633
syd ,0.8801592598455471,-0.1841635
fabD ,0.8814579179520378,-0.1820364
ybaK ,0.8816550421613967,-0.1817138
yigA ,0.8820887360987806,-0.1810043
tyrB ,0.8820934440247116,-0.1809966
eda ,0.882240564084508,-0.180756
accA ,0.8823193928639288,-0.1806271
mprA ,0.8825259466578851,-0.1802894
napA ,0.8830020546590873,-0.1795113
rsgA ,0.8833558294273626,-0.1789334
panC ,0.8833686877286001,-0.1789124
fabA ,0.8840528354329579,-0.1777955
thrS ,0.8847260452305569,-0.1766973
frmA ,0.885284397275053,-0.1757871
tyrR ,0.885381417870938,-0.175629
der ,0.8859939177589378,-0.1746313
