gene,Acetate,Glucose,log2FC,avg_exp,color
gyrB,527.8745787860021,842.4574521457562,-0.673389662637657,685.1660154658791,gray
rne,565.472722000252,847.713465159936,-0.5832710805417545,706.5930935800941,gray
thrS,645.8327581816658,938.9673989520197,-0.539217975949807,792.4000785668427,gray
pgk,29801.66622243163,40038.96172570085,-0.4259991914645678,34920.313974066245,gray
gdhA,3649.936375749561,6342.911638845497,-0.797106149218715,4996.424007297529,gray
glyA,9091.413866804278,24509.624564409525,-1.4306719874384122,16800.519215606902,gray
oppA,2956.720817871413,5754.918027830539,-0.9605601647845372,4355.8194228509765,gray
ftsZ,3181.2552464442483,6069.632080912999,-0.9317971814422528,4625.443663678624,gray
aceB,20349.98730063661,4392.5737695254575,2.211631964017803,12371.280535081034,gray
nuoG,870.5549189580477,933.5198782964061,-0.10063377684637409,902.0373986272268,gray
cysI,1574.6669496495895,3011.3834439158036,-0.9349427981367047,2293.0251967826966,gray
polA,351.69311983761384,439.75212970693605,-0.3215541079810329,395.7226247722749,gray
gapA,20252.173836361828,47083.36905530889,-1.2171001895135092,33667.77144583536,gray
purH,1137.7671991209506,2728.1407806811144,-1.2609739732532539,1932.9539899010324,gray
tnaA,2409.3430200869548,613.2434420341428,1.9723560186353755,1511.2932310605488,gray
acnA,1600.9978225882203,595.3534873375957,1.4256325429105523,1098.175654962908,gray
nuoC,888.6014975467654,935.2799560716209,-0.0737807563382109,911.9407268091932,gray
glnA,4983.247260380103,17828.402351537818,-1.8388107990790878,11405.82480595896,gray
leuA,4243.127451550407,2711.256685731515,0.645974260770295,3477.192068640961,gray
aldB,1711.070677930833,588.5719356795098,1.5380025033060463,1149.8213068051714,gray
dld,671.5994553546806,608.1777497986351,0.14288436223678325,639.8886025766578,gray
glcB,2376.6577732777746,282.3247614290777,3.069012478591512,1329.491267353426,red
gltA,34014.03442645483,9671.399160640365,1.8142268611775307,21842.7167935476,gray
ahpF,2202.736866563599,2434.9794539224968,-0.14454999334199137,2318.8581602430477,gray
ompA,74604.78888385929,119679.88637332853,-0.6818332822659556,97142.3376285939,gray
glmS,1661.1787272447962,4024.5011590911176,-1.276092886762136,2842.839943167957,gray
proS,2267.146146713221,4322.132089222186,-0.9305633145794907,3294.639117967703,gray
rplB,6847.208934327743,14190.92380395889,-1.0512715457879764,10519.066369143316,gray
nrdA,347.6253068452466,560.4532567464693,-0.6874886183772944,454.03928179585796,gray
prlC,1084.412451639078,1349.6524561871686,-0.3154131304173031,1217.0324539131234,gray
iscS,9479.324685441044,13682.723495034792,-0.5294524821875104,11581.02409023792,gray
glpD,107.27364551236639,135.22743908972888,-0.3313351973255516,121.25054230104763,gray
atpA,11045.306849393877,14552.281556209095,-0.3977803879250299,12798.794202801486,gray
cysJ,1570.5037367830819,3317.175124705299,-1.0782443273804212,2443.8394307441904,gray
ftsH,1234.310372300444,2236.129159638511,-0.8567749869981984,1735.2197659694775,gray
rho,2061.926297791945,3242.8973559536025,-0.6530358912822329,2652.411826872774,gray
metK,3545.7395693511767,12499.04987483635,-1.8173685464135563,8022.394722093763,gray
guaB,4041.3081500176922,11237.049852769505,-1.475140495921794,7639.179001393599,gray
copA,3707.2360733694177,2768.9686702166746,0.42086343286341865,3238.102371793046,gray
nusA,2771.3323841678402,5576.3621961092485,-1.0084827258470703,4173.847290138545,gray
rpoA,11405.842410787584,14574.968016698545,-0.35369221188334343,12990.405213743064,gray
lysS,1555.721217498719,2565.198346242663,-0.7211220781087508,2060.4597818706907,gray
metG,1093.8358607156943,2082.282183611281,-0.9281436725311032,1588.0590221634877,gray
gnd,5501.211390639303,14100.359796740837,-1.3577508156408786,9800.78559369007,gray
mglB,19550.98210163877,3223.2180985208943,2.6002936278674156,11387.100100079831,red
livJ,21123.890759636433,22967.709279469782,-0.12072590613283651,22045.800019553106,gray
metH,177.63413406863282,421.1867226890665,-1.2408734259304683,299.4104283788497,gray
mdh,119780.54702693898,53137.58715069585,1.1725738954766367,86459.06708881742,gray
typA,798.0870369711481,3013.027920224906,-1.915268225386157,1905.557478598027,gray
ydgA,1120.6489240701994,1214.6236059362272,-0.11607541234326035,1167.6362650032133,gray
fhuA,584.4319611813265,872.9914080872944,-0.5781175864926009,728.7116846343105,gray
ppiD,813.4749073697697,1056.7743970969718,-0.37708980370838496,935.1246522333707,gray
rnb,612.5497109871551,1260.4402467831396,-1.0398197251640493,936.4949788851474,gray
glnS,593.3944007243302,999.084223428292,-0.7506290729349789,796.2393120763111,gray
fbaA,11352.075386240947,20048.942663769994,-0.8205149550805597,15700.50902500547,gray
cysK,66764.03830411332,73308.48943763963,-0.13490712874935085,70036.26387087647,gray
yeaG,691.6254033611546,518.6216320391818,0.4146138101451253,605.1235177001681,gray
cysN,688.6222768955452,1519.8538329332723,-1.1410032206598757,1104.2380549144086,gray
prc,362.033699536645,505.5177306207535,-0.4805092950438645,433.77571507869925,gray
fadB,611.3090935789804,173.43056640090893,1.8116072356962087,392.36982998994466,gray
pgm,1344.3932383406484,1344.3294765118274,6.837484497879132e-05,1344.3613574262379,gray
talB,6722.0660792678855,10629.04119803065,-0.6609559535956198,8675.553638649268,gray
pepA,710.0367024805323,1075.5109809582075,-0.5983670995081116,892.7738417193699,gray
thrC,5601.079419397736,14608.550523740056,-1.3828774515568085,10104.814971568896,gray
lpdA,9067.015896513944,12595.55591208423,-0.47417050782627257,10831.285904299086,gray
yahK,2784.959686679384,1473.8241254061847,0.9176314604714157,2129.3919060427843,gray
surA,899.563264465867,1553.9893463440499,-0.7880051621275719,1226.7763054049583,gray
rnr,237.8470114574805,250.6003772539233,-0.07504726003460949,244.22369435570192,gray
asnS,3183.5229724580736,5528.3806585709235,-0.7960406151204431,4355.951815514499,gray
serS,1948.9374522671271,2527.7161120289657,-0.37497723329588695,2238.3267821480463,gray
malE,3656.4013912266523,2141.6361427670536,0.7714320918974895,2899.0187669968527,gray
pyrB,7536.0128073738515,8888.02776681479,-0.23803278940311579,8212.020287094321,gray
ilvD,504.1361286903567,1198.8925299301227,-1.2481610586107195,851.5143293102396,gray
ydiJ,208.97473434055675,231.09120187438234,-0.14447609099343772,220.03296810746954,gray
cirA,234.16303355099407,574.871415063409,-1.2920854181625048,404.51722430720156,gray
clpA,356.91470806752113,529.643975932724,-0.568128409883899,443.27934200012254,gray
degP,1530.9110948652037,3337.9231122591277,-1.1240502995752877,2434.4171035621657,gray
lptD,295.12439834802626,523.4528582001936,-0.8246097359934748,409.28862827410995,gray
topA,205.30988707898402,354.6989688846269,-0.7858438304729853,280.00442798180546,gray
argS,444.70989975895134,941.2191360954693,-1.0799576275472678,692.9645179272103,gray
gltX,1455.077916587576,2560.769151496111,-0.8150529180159669,2007.9235340418436,gray
rpsB,13073.811360574933,29156.389120666638,-1.1570714084102889,21115.100240620784,gray
bglX,116.52517927853403,157.20357979150288,-0.42881236383746746,136.86437953501846,gray
gatY,38994.87131339941,4938.950902576392,2.9807527785035663,21966.9111079879,red
ptsG,559.2065005947762,2775.1355964921654,-2.309047406526439,1667.1710485434708,gray
pyrC,2402.876635225755,4485.425929377848,-0.9002037324222734,3444.151282301801,gray
argH,1218.7147195708635,2883.0539393958857,-1.2415543933242308,2050.8843294833746,gray
asnB,971.9745946353449,1153.983472576103,-0.2473981669461338,1062.979033605724,gray
aspC,7852.714499558012,6984.80504428846,0.16894877228553362,7418.759771923236,gray
sucC,19647.31789694481,6213.318993474793,1.6607376029654723,12930.318445209801,gray
sucD,25370.025168527736,6923.992278504178,1.8732974480008195,16147.008723515957,gray
clpX,1567.8893698918996,3250.9753476904384,-1.0515726964219354,2409.432358791169,gray
hslU,858.5367191308557,1367.0446828906233,-0.6704841745055461,1112.7907010107394,gray
mfd,73.31544296692338,73.15132016417458,0.0031896600300145295,73.23338156554898,gray
pheS,2650.6694520942506,5078.273228197233,-0.9377211373056635,3864.471340145742,gray
accC,1046.023876675764,1810.2939218628144,-0.790726331621757,1428.1588992692891,gray
fabB,10932.18059277272,13467.48396601689,-0.3008743086082184,12199.832279394805,gray
fadE,310.967519996614,86.44143300680264,1.8350068835244766,198.7044765017083,gray
gatZ,11765.921933875054,1413.1140287354392,3.056766617052755,6589.517981305246,red
purA,5985.796134408791,6862.752349619666,-0.19721335638492832,6424.274242014229,gray
pyrG,389.7639993524116,960.169485123022,-1.29849328745307,674.9667422377167,gray
trpE,466.35836970504823,1089.991808400018,-1.2230391335535717,778.1750890525332,gray
gltD,1293.0504395669204,2965.2446399090454,-1.1967437365588918,2129.1475397379827,gray
ilvB,1404.58002986548,1822.6219806951299,-0.3756411045327237,1613.601005280305,gray
maeA,611.7485223085268,528.3147283605708,0.21116930191657346,570.0316253345488,gray
sdhB,7106.483799333169,2481.463454051693,1.517566426389985,4793.973626692431,gray
gpmI,459.9443527906673,2655.6613680864302,-2.5269498482608554,1557.8028604385488,green
cusA,371.5926930228385,356.11995071590127,0.06119064844341615,363.8563218693699,gray
hflK,979.7494805725837,1349.360614635734,-0.46138815999934124,1164.555047604159,gray
tolC,3449.1363739091803,4884.360348297549,-0.501811591941907,4166.748361103364,gray
rplE,13321.296880786209,31769.313512811867,-1.2538364896613121,22545.30519679904,gray
accA,1943.7078185859275,3825.1816839771723,-0.9763519661564874,2884.44475128155,gray
plsB,162.3414784241714,192.45845952333428,-0.24413262522966228,177.39996897375283,gray
pdxB,381.01964769183735,737.2383819271795,-0.9504399074678549,559.1290148095084,gray
serC,8002.202322962199,18150.11663009296,-1.1814090169432596,13076.15947652758,gray
talA,1326.7181415430332,1446.1820382699138,-0.12429749461279194,1386.4500899064735,gray
xylA,219.13206814412615,260.07851076641066,-0.24611438728054136,239.6052894552684,gray
zwf,624.9300441559632,1233.7903405628745,-0.9801927709915557,929.3601923594188,gray
lysC,1317.6112865329928,3720.2090652726306,-1.4967521112098439,2518.9101759028117,gray
tyrA,866.4659582143779,1416.0068099822665,-0.7079676431758593,1141.236384098322,gray
fliY,9114.73658876313,11401.711780819232,-0.3229458236571716,10258.224184791181,gray
sucB,10291.976476704529,5252.023533947239,0.9704402816322641,7772.000005325885,gray
pckA,7096.865889638329,1147.2258900948227,2.6279788248613656,4122.045889866576,red
pmbA,877.6964355611494,1295.240190257473,-0.5608963242305283,1086.4683129093112,gray
ygfZ,1628.5919631657143,1610.0687162918039,0.01649274026811476,1619.330339728759,gray
fepA,130.6567984587243,373.8662102932119,-1.509593768967986,252.26150437596812,gray
fiu,98.30564732982997,202.07115232769246,-1.0320376406882374,150.18839982876122,gray
ompT,8656.786346423176,13907.66824987477,-0.6839141851273158,11282.227298148973,gray
uvrA,104.83704339597442,127.2102441358243,-0.276666874464893,116.02364376589935,gray
idnO,391.0320202,600.6664853,-0.6179925014975556,495.84925275,gray
nadE,2352.6508790447083,3938.7764036069157,-0.7432134150171059,3145.713641325812,gray
eno,19246.60092649196,36149.560351400396,-0.9093393742636362,27698.08063894618,gray
tktA,2661.13659072402,3883.2511614903324,-0.5450518946604053,3272.193876107176,gray
deoD,2241.7418664198326,2763.662301946141,-0.3018396892191202,2502.7020841829867,gray
dcp,532.118052996841,590.6377747950984,-0.15025913139076685,561.3779138959696,gray
pepB,2672.7330086297984,3154.5404962862945,-0.23903172897774638,2913.6367524580464,gray
argT,12700.474809074987,6161.2916900677055,1.0434571440775269,9430.883249571347,gray
prpC,156.27440345521066,470.07289776798007,-1.5826664418385432,313.17365061159535,gray
sthA,1315.0837366407252,444.53733881450415,1.5626330355659324,879.8105377276147,gray
yqhD,452.5151830308281,1051.816518837295,-1.2150312744354697,752.1658509340616,gray
entF,33.085170385092276,42.72032972014751,-0.35916008643255815,37.90275005261989,gray
acrA,1247.5116596826124,2423.3969627287875,-0.9574166457955542,1835.4543112057,gray
ompF,20980.3698077956,24017.447325120498,-0.19503402087368116,22498.90856645805,gray
bamC,903.4865977338434,1753.4902966277066,-0.9558809378762554,1328.488447180775,gray
hisS,979.446005775294,1888.9979850975355,-0.9468746094712177,1434.2219954364148,gray
rplA,11672.041157873857,28501.747103079637,-1.2879205004080045,20086.894130476747,gray
fabI,2893.5296551448237,5013.934458026584,-0.7929019084664279,3953.732056585704,gray
lamB,1031.9227365610268,902.7715769376185,0.19270225254701145,967.3471567493227,gray
malP,156.55608230880935,274.47055133644915,-0.806032649071013,215.51331682262924,gray
pfkA,833.560549631009,1448.2088099758691,-0.7961768513728433,1140.8846798034392,gray
mtlA,812.3237342230626,569.9142172248062,0.5105557253220923,691.1189757239345,gray
rbsB,13629.529995307523,5038.316562961157,1.4355416670899945,9333.92327913434,gray
purB,713.5733941682131,1933.0574314696596,-1.4364765320793769,1323.3154128189362,gray
argD,1548.9336310637227,3919.169667663857,-1.3387096566382475,2734.0516493637897,gray
leuC,3551.4908638796464,2763.4810848040684,0.3618222387386236,3157.4859743418574,gray
trpB,2212.9340477160817,5376.77694229054,-1.2803976714059164,3794.8554950033113,gray
gcvP,211.15475746782008,337.0076658764726,-0.6719389358857457,274.0812116721463,gray
metL,181.623385377252,343.3490830440025,-0.9150003175009687,262.48623421062723,gray
gltI,4576.9620277531485,4936.235559554258,-0.10899798248185988,4756.598793653703,gray
mreB,2215.6956590228283,3277.0297978491903,-0.5644182596900933,2746.362728436009,gray
gor,765.3643074567442,985.8292894631678,-0.364770165239813,875.5967984599561,gray
nuoF,510.03609612997053,393.4052140563916,0.3737465726306137,451.7206550931811,gray
hldD,2285.7356013624362,2898.099327373409,-0.3423151960458153,2591.9174643679225,gray
ffh,468.5568402639281,925.0585702037309,-0.9798036342179373,696.8077052338296,gray
secD,299.6394826040874,429.8813231191465,-0.5192560760655933,364.76040286161697,gray
yncE,1708.299880363543,3465.8816832652765,-1.0202330751959074,2587.0907818144096,gray
cysP,2679.8589702759436,3913.856144221667,-0.5462639683881143,3296.8575572488053,gray
lepA,349.2871172710363,747.9248870205,-1.0962831014764962,548.6060021457681,gray
ompC,42037.18602608799,33620.53516834044,0.32231481753182933,37828.86059721421,gray
rhlB,348.84388269300655,496.8590116070946,-0.509025979026104,422.8514471500506,gray
yhgF,104.4502169978536,169.47367507369188,-0.692986908307808,136.96194603577274,gray
rapA,65.25317079079822,83.97008322968223,-0.35896547630505005,74.61162701024023,gray
rpsC,7221.709763354494,15952.190710992572,-1.143232894901983,11586.950237173533,gray
kbl,145.6798240368965,171.72060769739048,-0.2357697839894639,158.70021586714347,gray
deoB,1326.7722958235343,1012.2333316542686,0.39004131291878963,1169.5028137389013,gray
pykA,1421.2594519357779,1902.1599316169222,-0.42021213445014993,1661.7096917763502,gray
tpiA,7717.217131619631,7438.3099561953495,0.05309882255506082,7577.76354390749,gray
glmM,728.6226084618788,1087.4474345898407,-0.5770493963878742,908.0350215258597,gray
manX,1954.3847549393372,2290.5380809743324,-0.22886375068659248,2122.461417956835,gray
adk,4032.4597008159762,5282.988543815468,-0.3896094969693653,4657.724122315722,gray
aroG,2753.648328029785,6678.306633936416,-1.2778301980565594,4715.977480983101,gray
speA,636.7994549279093,1294.7651321463336,-1.0226294720810731,965.7822935371214,gray
metF,2229.3395328990155,4385.381189105296,-0.9757678380889363,3307.3603610021555,gray
idnD,128.5516534,273.6208274,-1.0839136164502463,201.0862404,gray
gabD,1073.913491048293,718.4508040323394,0.5792526123841739,896.1821475403162,gray
ndh,235.6461011024477,662.4789623823136,-1.4873195683498732,449.06253174238066,gray
lpoA,305.7449250319292,489.564711196838,-0.6774039819779762,397.6548181143836,gray
prpD,119.99056488713369,93.3926733027515,0.35814775931921705,106.6916190949426,gray
yfhM,53.35882952859318,28.826303196990327,0.8659292170822743,41.09256636279176,gray
dps,9276.978397710796,4697.585181144781,0.9815840833862453,6987.281789427789,gray
efeO,284.44046997848784,636.2316554443267,-1.1586280409231549,460.3360627114073,gray
dacC,1027.8914947351439,987.6148666874352,0.057610339072102335,1007.7531807112896,gray
galU,1073.6026053540138,1618.8905502358082,-0.5920930981074228,1346.246577794911,gray
kdsA,2682.9336925144894,2645.1198118869747,0.020470643793512266,2664.026752200732,gray
prfC,402.0860326104185,824.5257283506255,-1.034225385869707,613.305880480522,gray
rpsD,6649.877228535305,13608.366632274216,-1.0329833817267868,10129.12193040476,gray
rpsG,22645.065596290955,54021.67619245677,-1.2543046842136487,38333.37089437386,gray
pssA,282.5026704433407,295.973964750019,-0.06697413307192157,289.23831759667985,gray
btuB,435.7331415818161,676.2004478750324,-0.632830912904291,555.9667947284242,gray
serA,4662.439604350697,11353.30330041645,-1.2837728465896152,8007.871452383573,gray
fbaB,4225.967760975456,2159.724264307133,0.9681081311516664,3192.8460126412947,gray
pgl,2923.549858682701,1801.8301018934612,0.6979511407477137,2362.689980288081,gray
purT,732.8604448674835,2378.611052071421,-1.697148140935198,1555.7357484694521,gray
asd,8322.5576953621,13769.483388685638,-0.7263069946367864,11046.020542023869,gray
gabT,1061.031833668444,599.496942135222,0.8225982060382098,830.2643879018331,gray
ggt,152.8966531739841,172.18570132521066,-0.17035796483414867,162.54117724959738,gray
pepQ,1083.1381675465188,1238.6965393440587,-0.19343837984240686,1160.9173534452889,gray
proA,685.547799359837,944.0301269565832,-0.4610001539680564,814.7889631582101,gray
proB,434.92430975698704,679.8858172505109,-0.6433352231077425,557.4050635037489,gray
minD,2638.1858904396317,2775.8418528028383,-0.07335204473860912,2707.013871621235,gray
yajO,546.8200970223796,464.6355614804208,0.2345009490797132,505.7278292514002,gray
cyoA,2103.39029244901,2615.6546242725412,-0.31432121366337107,2359.5224583607755,gray
agp,1380.4358681744463,501.30949009533384,1.4595201508730113,940.8726791348901,gray
mdoG,555.0635172659547,992.5615310835448,-0.8373596295158787,773.8125241747498,gray
corC,348.9118064970384,214.8854308185583,0.696725458531323,281.89861865779835,gray
phoP,2950.3959191685763,2966.842934492049,-0.008017276915213145,2958.6194268303125,gray
bfr,8229.352158667978,3413.026725359587,1.2694798097374012,5821.189442013782,gray
grpE,4235.409294603268,5905.139502109935,-0.4793734531356115,5070.2743983566015,gray
glmU,265.64053295147914,408.9099344550093,-0.6204108489529627,337.2752337032442,gray
cusB,1923.3510655999628,2333.2176603002454,-0.2785670765837356,2128.284362950104,gray
rplC,8088.71599946079,16502.446028566203,-1.0286063393072897,12295.581014013496,gray
ispG,356.9605904886858,590.2013109722363,-0.7238487052570726,473.58095073046104,gray
pncB,367.6055743336926,592.7601501246236,-0.6878023822503447,480.1828622291581,gray
bglA,276.2134251332468,368.7815274515548,-0.41567602901427847,322.4974762924008,gray
deoA,94.98877709827066,135.17911430215247,-0.5045678126649777,115.08394570021156,gray
udp,3105.0437177859353,1726.1073455947292,0.846720381846918,2415.5755316903324,gray
upp,11467.020793772717,23304.990439744783,-1.0230843991218599,17386.00561675875,gray
prs,5519.168185268267,7427.629703009819,-0.4283838905913999,6473.398944139043,gray
argE,800.4324221680205,2144.504827876227,-1.4206643667987713,1472.4686250221237,gray
aspA,780.3149211220446,110.16136028162224,2.8132487722295076,445.2381407018334,red
dapD,4576.723224427762,10995.94286047332,-1.2644003683799028,7786.333042450541,gray
hisG,1005.490586260381,4025.338592335302,-2.0001348211174665,2515.4145892978413,gray
pepD,2836.585526463047,2408.002072274497,0.23622824210514182,2622.293799368772,gray
pepP,693.8207221158212,616.714725371117,0.16970005843834457,655.2677237434691,gray
ilvI,307.40409657581466,440.6946937293866,-0.5182275718534637,374.0493951526006,gray
hisJ,4228.204686254422,10758.841049269951,-1.347198474573231,7493.522867762187,gray
ackA,1458.4208318810454,3061.7364516573625,-1.0694252762749592,2260.078641769204,gray
fumC,957.6637554064828,498.22072348534175,0.9413470646666973,727.9422394459123,gray
atpG,1639.570149296423,2306.5774208335647,-0.4921817685980123,1973.073785064994,gray
fdoG,14.662837403588512,13.033289596694743,0.15849235171046372,13.848063500141627,gray
ydgH,1567.2986228863078,2728.853001477489,-0.7996229741887984,2148.0758121818985,gray
luxS,5305.371760322679,6889.5443120643085,-0.3768921985564333,6097.458036193493,gray
yfbU,858.458815392978,1231.6106410507325,-0.5202167373363125,1045.0347282218552,gray
dkgA,321.2238727050944,327.7043153804829,-0.02872701348053397,324.46409404278864,gray
yjgR,154.41098114063414,173.6508714061009,-0.16838539462974733,164.03092627336753,gray
metQ,12300.04866517369,29883.659670058878,-1.280623802629643,21091.854167616286,gray
galF,2676.9731138546354,4864.691186310556,-0.8615032823493305,3770.832150082596,gray
murA,353.6955503457638,650.2555821822322,-0.8766426015996629,501.97556626399796,gray
rfbB,548.975574764344,1009.3751896321932,-0.8774516654985423,779.1753821982686,gray
recA,1138.2530958872808,1514.4805166174876,-0.41168701355810633,1326.3668062523843,gray
ligA,215.20009580282192,290.3095809455638,-0.43018598901515936,252.75483837419287,gray
srmB,287.4486583832286,300.78136987153977,-0.06518919225215392,294.11501412738414,gray
tyrR,76.39543793609997,132.30920658177797,-0.7844559845513634,104.35232225893897,gray
map,1055.4559119910336,1478.505946582712,-0.48588293317987485,1266.9809292868729,gray
rpsE,8213.440370486902,18042.31896219876,-1.1352305418651145,13127.87966634283,gray
rpsF,8724.020619889472,17452.045426464312,-1.0002483519744274,13088.033023176893,gray
miaB,313.9979886120419,967.0369128692154,-1.619719444469613,640.5174507406286,gray
rluC,59.19330743467638,152.12774013527113,-1.34706066494034,105.66052378497375,gray
tyrS,1117.8875173884987,2277.496795442501,-1.0260173331294489,1697.6921564155,gray
gshA,334.6628004510673,549.8076297979023,-0.7145358834268691,442.23521512448485,gray
hemL,1537.571949733439,2909.3787188043507,-0.9196149875059216,2223.4753342688946,gray
ubiE,571.5463412389985,929.1701801885329,-0.7001022220369801,750.3582607137657,gray
dxs,210.34074669499955,298.42816679950676,-0.5026389930828943,254.38445674725315,gray
gcd,28.000507131809417,43.3022470803103,-0.6113017475531315,35.65137710605986,gray
mtlD,967.1180050096496,724.7561703402758,0.41569797734443803,845.9370876749626,gray
tktB,962.3436958854164,753.547170448593,0.3524395123203359,857.9454331670047,gray
treA,145.55470451367975,65.84625145350314,1.13252071485143,105.70047798359144,gray
nagE,387.23996784622665,266.1611518176257,0.5392384064628715,326.70055983192617,gray
purD,801.5425392088208,2115.146549952321,-1.3987897719630542,1458.344544580571,gray
pyrD,614.5722704748844,1544.9171004298955,-1.3284628075026923,1079.74468545239,gray
asnA,535.1631684506021,1765.8597013829312,-1.7204434639372934,1150.5114349167666,gray
dapB,1619.4210623450304,3081.7814109085944,-0.9278638541765574,2350.6012366268124,gray
ilvA,62.44362315053115,139.80232727831623,-1.1501241118236907,101.12297521442369,gray
tyrB,1565.9680417458935,1769.6701946813319,-0.17631976409958483,1667.8191182136127,gray
glnH,6784.177659515985,6758.751510941472,0.0054163770193760286,6771.4645852287285,gray
pntA,597.6727054647899,1938.4964810357299,-1.6958427564253178,1268.0845932502598,gray
pntB,835.1789257711426,2976.7772741056237,-1.8323522614152896,1905.9780999383831,gray
ghrB,852.1083987056405,1787.7135540732856,-1.0681213998336432,1319.910976389463,gray
