gene,ratio,log2FC_treitz,dataset,Acetate,Glucose,log2FC_schmidt,avg_exp
flgg,1.332192163013591,0.4138022,Treitz,,,,
ssna,1.3344088850578524,0.4162008,Treitz,,,,
flgk,1.3366172514550314,0.4185864,Treitz,,,,
rcsa,1.3475726002245425,0.430363,Treitz,,,,
mota,1.3482340813547045,0.431071,Treitz,,,,
yfeh,1.350399336210118,0.4333861,Treitz,,,,
znub,1.357755869535091,0.4412241,Treitz,,,,
cheb,1.369633125665846,0.4537895,Treitz,,,,
insq,1.37820481226179,0.4627903,Treitz,,,,
ybam,1.3857484558310085,0.4706654,Treitz,,,,
hnr,1.388502428074405,0.4735297,Treitz,,,,
nifu,1.393033545740501,0.47823,Treitz,,,,
rfai,1.397282178778962,0.4826234,Treitz,,,,
gmr,1.4007089376515678,0.4861572,Treitz,,,,
epma,1.4075705162217047,0.4932072,Treitz,,,,
yeaz,1.408009921579357,0.4936575,Treitz,,,,
yjcz,1.4092200437830662,0.4948969,Treitz,,,,
flid,1.4147039725071384,0.5005002,Treitz,,,,
ycgv,1.4371203662365388,0.5231809,Treitz,,,,
spr,1.4408757160481722,0.5269459,Treitz,,,,
ptso,1.442892481453234,0.5289638,Treitz,,,,
artq,1.4456619144261809,0.5317302,Treitz,,,,
nrfb,1.4662189939641637,0.5521006,Treitz,,,,
gntt,1.4735757245386871,0.5593212,Treitz,,,,
yqih,1.477774767136026,0.5634264,Treitz,,,,
mdtl,1.4830855291161558,0.5686018,Treitz,,,,
cls,1.4866477993125276,0.5720629,Treitz,,,,
ycaq,1.4902837025324631,0.575587,Treitz,,,,
yhdw,1.509251149542339,0.5938329,Treitz,,,,
yeeo,1.5103825479824482,0.594914,Treitz,,,,
hcp,1.5247647795295702,0.6085867,Treitz,,,,
torz,1.5433752761238675,0.6260889,Treitz,,,,
flgn,1.576751930962018,0.6569557,Treitz,,,,
hcaf,1.5794767492591442,0.6594467,Treitz,,,,
htrl,1.5833399042825331,0.662971,Treitz,,,,
flgb,1.5859519917777585,0.6653491,Treitz,,,,
gntp,1.607842510201191,0.6851261,Treitz,,,,
yihf,1.6180243282845128,0.6942333,Treitz,,,,
flin,1.645428115245859,0.718463,Treitz,,,,
ypja,1.6557000099117372,0.7274413,Treitz,,,,
ydir,1.6754727237008964,0.7445682,Treitz,,,,
insg,1.724291392705606,0.7860036,Treitz,,,,
trkg,1.7326803183012096,0.7930055,Treitz,,,,
ppha,1.7616603525376695,0.8169358,Treitz,,,,
yehm,1.8080505329533436,0.8544350000000001,Treitz,,,,
rata,1.831606512739797,0.8731096,Treitz,,,,
ycal,1.8427269341776888,0.8818423,Treitz,,,,
ypda,1.8543425814430197,0.8909078,Treitz,,,,
flga,1.855280468481015,0.8916373,Treitz,,,,
citf,1.8636769439005687,0.8981518,Treitz,,,,
fcl,1.869808601976721,0.9028906,Treitz,,,,
yeej,1.9108642616076732,0.9342253,Treitz,,,,
frdd,1.911779849871322,0.9349164,Treitz,,,,
yhcm,1.955725510875336,0.9677039,Treitz,,,,
ygbl,1.9732928805723071,0.9806051,Treitz,,,,
aer,1.9927184678806256,0.9947379,Treitz,,,,
yfek,2.0074137463452995,1.005338,Treitz,,,,
yjhg,2.010186002297974,1.007329,Treitz,,,,
phoa,2.0587961645787254,1.041801,Treitz,,,,
visc,2.075990727712916,1.0538,Treitz,,,,
atoe,2.10986691456845,1.077152,Treitz,,,,
mdtc,2.1783669511888135,1.123247,Treitz,,,,
yian,2.2209378168366,1.151169,Treitz,,,,
ulaa,2.2286282723251767,1.156156,Treitz,,,,
yjgx,2.248902320459345,1.169221,Treitz,,,,
csie,2.277244188959702,1.187289,Treitz,,,,
yege,2.330953137197725,1.22092,Treitz,,,,
yfer,2.4707447926745845,1.304946,Treitz,,,,
mhpc,2.473635621495595,1.306633,Treitz,,,,
allb,2.4922158066075126,1.317429,Treitz,,,,
rtcr,2.5032857777175725,1.323823,Treitz,,,,
ykfb,2.5422290142693256,1.346094,Treitz,,,,
yqig,2.674592315105867,1.419319,Treitz,,,,
flie,2.6858840039083653,1.425397,Treitz,,,,
ulae,2.7127046867211426,1.439732,Treitz,,,,
recq,2.870259148303776,1.521181,Treitz,,,,
ygbk,2.899959998269246,1.536033,Treitz,,,,
xdha,3.0831947069218826,1.624426,Treitz,,,,
yicj,3.086921936758053,1.626169,Treitz,,,,
gspf,3.3087630962702277,1.726292,Treitz,,,,
fhla,3.6774277568949834,1.878697,Treitz,,,,
yedn,4.492140339957897,2.167403,Treitz,,,,
frdc,4.896982362873619,2.291893,Treitz,,,,
yghj,4.956195168342905,2.309233,Treitz,,,,
paag,5.2996827516764835,2.405906,Treitz,,,,
gcl,7.157307680514771,2.839417,Treitz,,,,
taub,8.80263836873358,3.137936,Treitz,,,,
ylif,603.471990007092,9.237143,Treitz,,,,
insa1,,,Treitz,,,,
ybhr,,,Treitz,,,,
atob,,,Treitz,,,,
ydgi,,,Treitz,,,,
sapc,,,Treitz,,,,
yfgg,,,Treitz,,,,
arsb,,,Treitz,,,,
fime,,,Treitz,,,,
menh,,,Treitz,,,,
queg,,,Treitz,,,,
ssub,,,Treitz,,,,
ydbj,,,Treitz,,,,
ydcx,,,Treitz,,,,
ppnk,,,Treitz,,,,
gspj,,,Treitz,,,,
ybjj,,,Treitz,,,,
tyna,,,Treitz,,,,
yaej,,,Treitz,,,,
flip,,,Treitz,,,,
hybf,,,Treitz,,,,
nhaa,,,Treitz,,,,
poti,,,Treitz,,,,
murp,,,Treitz,,,,
rusa,,,Treitz,,,,
stfe,,,Treitz,,,,
tort,,,Treitz,,,,
yhdy,,,Treitz,,,,
ytca,,,Treitz,,,,
lpxp,,,Treitz,,,,
hsra,,,Treitz,,,,
appb,,,Treitz,,,,
pfld,,,Treitz,,,,
lplt,,,Treitz,,,,
yggp,,,Treitz,,,,
atoa,,,Treitz,,,,
yjjl,,,Treitz,,,,
kdpa,,,Treitz,,,,
pine,,,Treitz,,,,
yhcf,,,Treitz,,,,
yqce,,,Treitz,,,,
yrah,,,Treitz,,,,
yran,,,Treitz,,,,
ynjd,,,Treitz,,,,
fimg,,,Treitz,,,,
ycgg,,,Treitz,,,,
ydat,,,Treitz,,,,
ydfu,,,Treitz,,,,
ydet,,,Treitz,,,,
yihv,,,Treitz,,,,
cynr,,,Treitz,,,,
yghb,,,Treitz,,,,
mena,,,Treitz,,,,
ruvc,,,Treitz,,,,
yiek,,,Treitz,,,,
yiay,,,Treitz,,,,
chac,,,Treitz,,,,
clca,,,Treitz,,,,
gudx,,,Treitz,,,,
hycc,,,Treitz,,,,
hycd,,,Treitz,,,,
nhar,,,Treitz,,,,
wcam,,,Treitz,,,,
yehl,,,Treitz,,,,
yehr,,,Treitz,,,,
yige,,,Treitz,,,,
ynci,,,Treitz,,,,
yaio,,,Treitz,,,,
ypdf,,,Treitz,,,,
yhid,,,Treitz,,,,
ygfu,,,Treitz,,,,
ycai,,,Treitz,,,,
pgpb,,,Treitz,,,,
ycjr,,,Treitz,,,,
ydim,,,Treitz,,,,
yebz,,,Treitz,,,,
yfcj,,,Treitz,,,,
yfdv,,,Treitz,,,,
yohk,,,Treitz,,,,
scpa,,,Treitz,,,,
dcuc,,,Treitz,,,,
dsbe,,,Treitz,,,,
ypfn,,,Treitz,,,,
adia,,,Treitz,,,,
arah,,,Treitz,,,,
dtpb,,,Treitz,,,,
eama,,,Treitz,,,,
fsr,,,Treitz,,,,
ybhi,,,Treitz,,,,
ycce,,,Treitz,,,,
yfjo,,,Treitz,,,,
yiix,,,Treitz,,,,
ynid,,,Treitz,,,,
yjfl,,,Treitz,,,,
yibh,,,Treitz,,,,
yhhq,,,Treitz,,,,
gudp,,,Treitz,,,,
laca,,,Treitz,,,,
yagg,,,Treitz,,,,
ycjn,,,Treitz,,,,
yhjy,,,Treitz,,,,
malg,,,Treitz,,,,
yoag,,,Treitz,,,,
thip,,,Treitz,,,,
b3808,,,Treitz,,,,
yffq,,,Treitz,,,,
htre,,,Treitz,,,,
ycbj,,,Treitz,,,,
ynfc,,,Treitz,,,,
ygah,,,Treitz,,,,
ralr,,,Treitz,,,,
cynt,,,Treitz,,,,
cho,,,Treitz,,,,
nrfg,,,Treitz,,,,
rele,,,Treitz,,,,
ybho,,,Treitz,,,,
yeel,,,Treitz,,,,
bax,,,Treitz,,,,
fbpb,,,Treitz,,,,
fixc,,,Treitz,,,,
mltf,,,Treitz,,,,
yeda,,,Treitz,,,,
yffn,,,Treitz,,,,
nikb,,,Treitz,,,,
pspd,,,Treitz,,,,
yqgc,,,Treitz,,,,
gfcd,,,Treitz,,,,
gmm,,,Treitz,,,,
lhr,,,Treitz,,,,
psut,,,Treitz,,,,
yffl,,,Treitz,,,,
yhfs,,,Treitz,,,,
yphe,,,Treitz,,,,
prpc,,,Schmidt,156.27440345521066,470.07289776798007,-1.5826664418385432,313.17365061159535
idnd,,,Schmidt,128.5516534,273.6208274,-1.0839136164502463,201.0862404
cusb,,,Schmidt,1923.3510655999628,2333.217660300246,-0.2785670765837356,2128.284362950104
glnh,,,Schmidt,6784.177659515985,6758.751510941472,0.005416377019376,6771.4645852287285
ychf,,,Schmidt,914.556346522799,2762.005306607824,-1.5935177506431195,1838.2808265653116
trpg,,,Schmidt,523.4927806014678,1025.4227836654472,-0.968630279593448,774.4577821334575
acui,,,Schmidt,1011.876805914834,1096.53582829141,-0.1158093234702697,1054.2063171031218
coab,,,Schmidt,223.2693601018584,251.9928456627234,-0.173864056306491,237.6311028822909
sufd,,,Schmidt,191.8908464055411,251.73219211894465,-0.3898247590779018,221.81151926224288
rmla,,,Schmidt,405.32368679264533,635.2566153643899,-0.646979281957746,520.2901510785176
mdte,,,Schmidt,26.1787081537409,12.937505787181186,0.9635044801223152,19.558106970461044
gss,,,Schmidt,67.63096135657597,183.51753057391775,-1.426826421176262,125.57424596524686
sufs,,,Schmidt,413.0528798859757,507.7789959681587,-0.2972240825338748,460.4159379270672
fhuc,,,Schmidt,50.11838468,154.4865916,-1.6048760212392563,102.30248814
sufb,,,Schmidt,215.1283605051824,266.1549142662043,-0.3057881595099045,240.64163738569337
csid,,,Schmidt,251.2349767848702,55.82148810395295,2.1502598243747277,153.52823244441157
cuss,,,Schmidt,263.0317594783003,217.2763773202007,0.2745554719150878,240.1540683992505
yibq,,,Schmidt,66.12969662,125.6711207,-0.9160646194833976,95.90040866
yhbo,,,Schmidt,335.71887331313917,287.8279496661552,0.2213342299248353,311.7734114896472
xylb,,,Schmidt,38.44903557772878,48.03718819194757,-0.3138862261289654,43.24311188483817
iscu,,,Schmidt,6814.8238318579415,9431.249271211022,-0.46871379890894,8123.036551534482
yfew,,,Schmidt,6.951963252,14.37256069,-0.9509745075324229,10.662261971
tsad,,,Schmidt,87.15853715669128,199.00161931486468,-1.1818394907285263,143.080078235778
yegw,,,Schmidt,40.72738326,64.69041548,-0.6546884388765006,52.70889937
dxr,,,Schmidt,32.61787348,72.1932117,-1.122481383182704,52.40554259
idnk,,,Schmidt,5.644337167,14.76345129,-1.2463862468341826,10.2038942285
sdab,,,Schmidt,15.347129779261468,37.489683417631944,-1.2354344545573372,26.418406598446705
gadc,,,Schmidt,139.68204985551048,61.82987057609947,1.1629157481290235,100.75596021580498
nirb,,,Schmidt,3.3562901777804757,3.03821886625187,0.1093809519267163,3.197254522016173
cusr,,,Schmidt,886.103416293383,928.6782235153328,-0.067629162711702,907.3908199043578
qseb,,,Schmidt,41.73224563,70.36223445,-0.7398356543970097,56.047240040000005
ydal,,,Schmidt,26.18100365,56.63371417,-1.0843142681846991,41.40735891
loip,,,Schmidt,326.7097693584447,454.04720156816467,-0.473597520599645,390.3784854633047
ycjg,,,Schmidt,141.7642865,102.4097295,0.4652631933610545,122.087008
meps,,,Schmidt,1530.041761047726,1782.1321655382033,-0.2199000046495136,1656.0869632929646
pane,,,Schmidt,11.91008932,25.25850288,-1.0242856816489638,18.584296100000003
glpt,,,Schmidt,50.98887354076225,53.43501843262771,-0.0663321498279865,52.21194598669498
yehx,,,Schmidt,27.75074385,117.8216167,-2.047126135652535,72.786180275
galt,,,Schmidt,102.03848410424372,150.64445152292797,-0.5575094386744688,126.34146781358584
hyab,,,Schmidt,0.6837029646081372,1.1383956896056011,-0.3448911910562425,0.9110493271068691
yfiq,,,Schmidt,24.42813442195046,17.2492046190947,0.4785920338074252,20.83866952052258
rcla,,,Schmidt,20.79905583960487,18.135066369918025,0.1880467453700198,19.46706110476145
appa,,,Schmidt,5.087022447813252,9.08432946944453,-0.7283065676555704,7.085675958628891
yjiy,,,Schmidt,5.073115297378006,13.949205110560309,-1.2995601105316306,9.511160203969158
kdpe,,,Schmidt,34.62066264,59.08453042,-0.7542792425818865,46.85259653
ybdk,,,Schmidt,84.55849711575752,53.21191869432593,0.6583010725721117,68.88520790504172
ycif,,,Schmidt,689.7300843401025,269.8865312894223,1.350433397457964,479.8083078147624
ydhs,,,Schmidt,80.48895434590233,42.229086420336344,0.9146021709228842,61.359020383119336
ygiw,,,Schmidt,1709.306465089751,1668.8121677224074,0.0345690335245283,1689.0593164060792
cusf,,,Schmidt,21139.944172896943,29516.680312106124,-0.4815395394891144,25328.31224250153
rcnr,,,Schmidt,335.53923294925096,493.8856663392937,-0.5563205565748923,414.71244964427234
bepa,,,Schmidt,171.3370548877518,176.64669546498857,-0.0437779176853156,173.99187517637017
yfcf,,,Schmidt,84.21187499048274,191.01256584277107,-1.1720743268147338,137.6122204166269
slp,,,Schmidt,2360.368596468774,552.0363841062181,2.094176952603613,1456.202490287496
mscm,,,Schmidt,15.501579298598294,14.301891256205415,0.108894129895932,14.901735277401857
dgod,,,Schmidt,3.9436287602421327,9.341172665918617,-1.0647574794947876,6.642400713080374
msck,,,Schmidt,3.266753878860045,6.5847565129635175,-0.8299639743015081,4.925755195911782
insh,,,Schmidt,28.46947967,56.20414684,-0.956898146930091,42.336813255
nank,,,Schmidt,9.282403376188874,6.677241581317133,0.4215175633846053,7.979822478753004
yagi,,,Schmidt,12.82920823,36.9436985,-1.456141750372557,24.886453365
rlua,,,Schmidt,62.626981,118.1519163,-0.905091579614094,90.38944865
garr,,,Schmidt,24.67234834889754,26.645369725752467,-0.1068225954043917,25.658859037325
hemf,,,Schmidt,33.61566236,115.9006455,-1.755786037085481,74.75815392999999
sgcx,,,Schmidt,5.127569580722826,4.866026272164388,0.0629314289925075,4.996797926443607
yagh,,,Schmidt,12.45264773105818,24.650319003341977,-0.9310866182761032,18.55148336720008
gard,,,Schmidt,10.200929524769386,8.942929058517128,0.1718756424693177,9.571929291643258
mals,,,Schmidt,2.91620507,23.01197047,-2.616225580855053,12.96408777
ansa,,,Schmidt,279.9506790842818,553.884552402011,-0.9818707524905524,416.9176157431464
glnq,,,Schmidt,742.3250565629618,697.806982755201,0.0890992159860939,720.0660196590813
fdoh,,,Schmidt,15.555968851934193,4.158292683978853,1.6823858996614345,9.857130767956525
tus,,,Schmidt,6.105625038,18.20101406,-1.4341490406292716,12.153319549
jw58,,,Schmidt,20.281365085354317,46.87732337240434,-1.169751804337298,33.57934422887933
glnl,,,Schmidt,10.436868669696404,66.07279231708334,-2.552035557431129,38.254830493389875
mazf,,,Schmidt,161.2985094,227.4141437,-0.493002237227941,194.35632655
yeah,,,Schmidt,46.14375303992219,20.33893182619649,1.143578653591975,33.241342433059344
yigz,,,Schmidt,42.92288576,107.7482154,-1.3079469774745256,75.33555058
yjbq,,,Schmidt,154.0290676,199.8392556,-0.3735025399326268,176.93416159999998
tam,,,Schmidt,183.46797723839103,96.55908765242523,0.919022221442793,140.01353244540817
ycea,,,Schmidt,10.101325394608722,67.23872208684645,-2.619858698242428,38.670023740727586
kefg,,,Schmidt,64.88587919,114.8721556,-0.8144927225515168,89.879017395
ycjy,,,Schmidt,10.04449429,47.96832877,-2.148521597973537,29.00641153
tsae,,,Schmidt,652.3362945645512,914.2385362642864,-0.4863220107970942,783.2874154144188
degs,,,Schmidt,72.81759411462002,73.69419838892186,-0.0170314734695651,73.25589625177093
