gene,source,thresholds,comparison
glcC,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
rpsQ,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
pdxK,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
nrdF,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
glpB,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yccX,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
hdeB,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yaiA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
glsA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ybiX,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yegH,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
psuG,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
fecA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yffB,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
nlpE,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ruvA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
rspB,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
psiF,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yebV,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yghW,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yjeI,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ymgD,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yodD,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ygaM,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yhjD,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
fhuF,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
fadM,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
rfaY,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
entH,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
cutA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
fes,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
fepC,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yjcE,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
hslJ,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yedF,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
sbcC,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
uvrC,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
rph,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
hslR,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yhhY,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
uidA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
xylH,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yahJ,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
proW,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
cyoC,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
bhsA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
hdeA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
sra,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ydiH,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yecH,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yciG,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ybiI,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ydaM,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yijO,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ybgA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ybdZ,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
mazG,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ybeY,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
sufE,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ybgL,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
feoA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
glpE,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
nhaB,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ydiE,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yeaR,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
djlA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
mltC,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
nei,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ygbT,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
soxR,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
greB,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
murR,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ypdB,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
rpmJ,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
folB,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
gntK,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
chbA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
sgbH,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
mpaA,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ycgJ,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
ychH,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
yfhG,schmidt,1.5,Osmotic_stress_glucose_vs_Glucose
