gene,regulator,polarity,source,is_global_regulator,is_sigma_factor,is_nucleoid_regulator,deg_source
puua,rpos,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
puua,acrr,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
puua,puur,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
puua,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
puua,fnr,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
puua,ptrr,-,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
rbsb,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
rbsb,rybb,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
rbsb,crp,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
rbsb,dsra,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
rbsb,rbsr,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
rbsc,crp,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
rbsc,rbsr,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
rbsc,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
rbsc,dsra,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
rbsd,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
rbsd,crp,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
rbsd,dsra,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
rbsd,rbsr,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
rbsd,yidz,-,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
rhle,cecr,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_down
sera,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
sera,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
sera,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_down
sera,lrp,±,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_down
stha,spf,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
stha,arca,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
stha,lrp,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
tnaa,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
tnaa,crp,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
tnaa,zrar,+,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
tnaa,rpld,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
tnaa,torr,+,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
tnaa,nac,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
uspf,yeie,+,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
ydcs,nac,+,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
ydcs,rpos,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
yden,rpod,+,ecocyc_28,no,yes,no,treitz_schmidt_concordant_up
yden,fur,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
yden,arac,-,ecocyc_28,no,no,no,treitz_schmidt_concordant_up
yden,lrp,+,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
yden,gadx,-,ecocyc_28_AND_regdb_13,yes,no,no,treitz_schmidt_concordant_up
yden,nagc,-,ecocyc_28,yes,no,no,treitz_schmidt_concordant_up
ytfq,arac,-,ecocyc_28_AND_regdb_13,no,no,no,treitz_schmidt_concordant_up
