gene,source,comparison
ydeA,houser,two_week_starvation_versus_control
nagE,houser,two_week_starvation_versus_control
ycfQ,houser,two_week_starvation_versus_control
insE,houser,two_week_starvation_versus_control
ybaO,houser,two_week_starvation_versus_control
marA,houser,two_week_starvation_versus_control
yqjF,houser,two_week_starvation_versus_control
glpF,houser,two_week_starvation_versus_control
zapB,houser,two_week_starvation_versus_control
selU,houser,two_week_starvation_versus_control
maa,houser,two_week_starvation_versus_control
pagP,houser,two_week_starvation_versus_control
yebF,houser,two_week_starvation_versus_control
hha,houser,two_week_starvation_versus_control
insF,houser,two_week_starvation_versus_control
glpK,houser,two_week_starvation_versus_control
yebG,houser,two_week_starvation_versus_control
CHIA,houser,two_week_starvation_versus_control
mpaA,houser,two_week_starvation_versus_control
bfr,houser,two_week_starvation_versus_control
yfaL,houser,two_week_starvation_versus_control
yeaY,houser,two_week_starvation_versus_control
ydbK,houser,two_week_starvation_versus_control
trmI,houser,two_week_starvation_versus_control
scpA,houser,two_week_starvation_versus_control
clpS,houser,two_week_starvation_versus_control
ompX,houser,two_week_starvation_versus_control
yahN,houser,two_week_starvation_versus_control
emrE,houser,two_week_starvation_versus_control
ydcA,houser,two_week_starvation_versus_control
yhcN,houser,two_week_starvation_versus_control
ydeM,houser,two_week_starvation_versus_control
ydfK,houser,two_week_starvation_versus_control
betI,houser,two_week_starvation_versus_control
prpR,houser,two_week_starvation_versus_control
sdaA,houser,two_week_starvation_versus_control
panE,houser,two_week_starvation_versus_control
nudL,houser,two_week_starvation_versus_control
trg,houser,two_week_starvation_versus_control
rimL,houser,two_week_starvation_versus_control
yqgA,houser,two_week_starvation_versus_control
prpB,houser,two_week_starvation_versus_control
cbpM,houser,two_week_starvation_versus_control
yajR,houser,two_week_starvation_versus_control
kefG,houser,two_week_starvation_versus_control
