gene,source,comparison
fadJ ,lu,glyphosate_shock_versus_control
fadL ,lu,glyphosate_shock_versus_control
fdrA ,lu,glyphosate_shock_versus_control
fixA ,lu,glyphosate_shock_versus_control
fixC ,lu,glyphosate_shock_versus_control
fixX ,lu,glyphosate_shock_versus_control
frc ,lu,glyphosate_shock_versus_control
frmA ,lu,glyphosate_shock_versus_control
frmB ,lu,glyphosate_shock_versus_control
frmR ,lu,glyphosate_shock_versus_control
fucO ,lu,glyphosate_shock_versus_control
hcp ,lu,glyphosate_shock_versus_control
hycC ,lu,glyphosate_shock_versus_control
hycD ,lu,glyphosate_shock_versus_control
hydN ,lu,glyphosate_shock_versus_control
hyfA ,lu,glyphosate_shock_versus_control
hyfB ,lu,glyphosate_shock_versus_control
hyfC ,lu,glyphosate_shock_versus_control
hyfD ,lu,glyphosate_shock_versus_control
hyfE ,lu,glyphosate_shock_versus_control
hyfG ,lu,glyphosate_shock_versus_control
napG ,lu,glyphosate_shock_versus_control
narG ,lu,glyphosate_shock_versus_control
narH ,lu,glyphosate_shock_versus_control
narJ ,lu,glyphosate_shock_versus_control
ndh ,lu,glyphosate_shock_versus_control
norV ,lu,glyphosate_shock_versus_control
nrfC ,lu,glyphosate_shock_versus_control
paaA ,lu,glyphosate_shock_versus_control
paaB ,lu,glyphosate_shock_versus_control
paaC ,lu,glyphosate_shock_versus_control
paaD ,lu,glyphosate_shock_versus_control
paaE ,lu,glyphosate_shock_versus_control
rutA ,lu,glyphosate_shock_versus_control
rutB ,lu,glyphosate_shock_versus_control
rutC ,lu,glyphosate_shock_versus_control
rutD ,lu,glyphosate_shock_versus_control
rutF ,lu,glyphosate_shock_versus_control
torC ,lu,glyphosate_shock_versus_control
torD ,lu,glyphosate_shock_versus_control
torR ,lu,glyphosate_shock_versus_control
torS ,lu,glyphosate_shock_versus_control
ttdA ,lu,glyphosate_shock_versus_control
ttdB ,lu,glyphosate_shock_versus_control
xdhA ,lu,glyphosate_shock_versus_control
yagS ,lu,glyphosate_shock_versus_control
yahF ,lu,glyphosate_shock_versus_control
yccM ,lu,glyphosate_shock_versus_control
ycgH_1 ,lu,glyphosate_shock_versus_control
ycgH_2 ,lu,glyphosate_shock_versus_control
ydbK ,lu,glyphosate_shock_versus_control
yddA ,lu,glyphosate_shock_versus_control
yeaW ,lu,glyphosate_shock_versus_control
yfdE ,lu,glyphosate_shock_versus_control
ygcN ,lu,glyphosate_shock_versus_control
ygcR ,lu,glyphosate_shock_versus_control
ygcU ,lu,glyphosate_shock_versus_control
yhiD ,lu,glyphosate_shock_versus_control
yiaK ,lu,glyphosate_shock_versus_control
yiaY ,lu,glyphosate_shock_versus_control
yjiL ,lu,glyphosate_shock_versus_control
ykgD ,lu,glyphosate_shock_versus_control
ykgE ,lu,glyphosate_shock_versus_control
ylbF ,lu,glyphosate_shock_versus_control
ynbB ,lu,glyphosate_shock_versus_control
yodB ,lu,glyphosate_shock_versus_control
yqhD ,lu,glyphosate_shock_versus_control
arsB ,lu,glyphosate_shock_versus_control
aslA ,lu,glyphosate_shock_versus_control
clcB ,lu,glyphosate_shock_versus_control
cynS ,lu,glyphosate_shock_versus_control
cynT ,lu,glyphosate_shock_versus_control
cynX ,lu,glyphosate_shock_versus_control
focB ,lu,glyphosate_shock_versus_control
katE ,lu,glyphosate_shock_versus_control
mgtA ,lu,glyphosate_shock_versus_control
narK ,lu,glyphosate_shock_versus_control
nrfD ,lu,glyphosate_shock_versus_control
phnD ,lu,glyphosate_shock_versus_control
phnE ,lu,glyphosate_shock_versus_control
phnG ,lu,glyphosate_shock_versus_control
phnH ,lu,glyphosate_shock_versus_control
phnI ,lu,glyphosate_shock_versus_control
phnJ ,lu,glyphosate_shock_versus_control
pitB ,lu,glyphosate_shock_versus_control
zinT ,lu,glyphosate_shock_versus_control
znuA ,lu,glyphosate_shock_versus_control
gspC ,lu,glyphosate_shock_versus_control
gspJ ,lu,glyphosate_shock_versus_control
gspK ,lu,glyphosate_shock_versus_control
gspL ,lu,glyphosate_shock_versus_control
spy ,lu,glyphosate_shock_versus_control
yghE ,lu,glyphosate_shock_versus_control
aes ,lu,glyphosate_shock_versus_control
atoA ,lu,glyphosate_shock_versus_control
atoD ,lu,glyphosate_shock_versus_control
caiD ,lu,glyphosate_shock_versus_control
caiE ,lu,glyphosate_shock_versus_control
glxR ,lu,glyphosate_shock_versus_control
idnO ,lu,glyphosate_shock_versus_control
prpD ,lu,glyphosate_shock_versus_control
prpE ,lu,glyphosate_shock_versus_control
srlD ,lu,glyphosate_shock_versus_control
ygbJ ,lu,glyphosate_shock_versus_control
yihU ,lu,glyphosate_shock_versus_control
hyuA ,lu,glyphosate_shock_versus_control
rihB ,lu,glyphosate_shock_versus_control
rihc ,lu,glyphosate_shock_versus_control
ssnA ,lu,glyphosate_shock_versus_control
stpA ,lu,glyphosate_shock_versus_control
xapA ,lu,glyphosate_shock_versus_control
ybbY ,lu,glyphosate_shock_versus_control
yeiJ ,lu,glyphosate_shock_versus_control
ygfO ,lu,glyphosate_shock_versus_control
ygfU ,lu,glyphosate_shock_versus_control
hscC ,lu,glyphosate_shock_versus_control
hslJ ,lu,glyphosate_shock_versus_control
htpG ,lu,glyphosate_shock_versus_control
nrfF ,lu,glyphosate_shock_versus_control
nrfG ,lu,glyphosate_shock_versus_control
osmB ,lu,glyphosate_shock_versus_control
osmC ,lu,glyphosate_shock_versus_control
osmE ,lu,glyphosate_shock_versus_control
osmY ,lu,glyphosate_shock_versus_control
ycaL ,lu,glyphosate_shock_versus_control
yhbU ,lu,glyphosate_shock_versus_control
endA ,lu,glyphosate_shock_versus_control
fimE ,lu,glyphosate_shock_versus_control
mutM ,lu,glyphosate_shock_versus_control
nohB ,lu,glyphosate_shock_versus_control
polB ,lu,glyphosate_shock_versus_control
radC ,lu,glyphosate_shock_versus_control
