gene,source,thresholds,comparison
ybdK,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
entS,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ybdO,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
dcuC,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ybfD,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ybgS,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ybiU,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
grxA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
serW,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
rmf,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yccJ,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
wrbA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
csgF,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ycfT,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ycgZ,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ycgB,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ydaY,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
tynA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ydcJ,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
rhsE,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
gadC,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
gadB,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ydeM,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
lsrA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
lsrC,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
lsrF,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ydeJ,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ynfE,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
mdtI,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
malI,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
valV,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ydhU,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ydiF,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ydiE,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ynjD,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yeaI,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
dmlA,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yoaC,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yeeP,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yeeW,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
wzxC,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yegL,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yegP,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ogrK,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yegZ,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yehX,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
osmF,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yohC,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
yohJ,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
ccmD,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
rhmT,ceroni,2.5,pSB1C3-H3_versus_pSB1C3
